yyyy;Index;D12;E12;b/m;tbl;AAA;BAA;lty;cay;ntis;Rfree;infl;eqis;ltr;corpr;svar;csp;ik;CRSP_SPvw;CRSP_SPvwx
1996;740,74;14,900;38,730;0,2073427297;0,0491;0,0720;0,0789;0,0673;0,0390963641;0,0241008722;0,0491000000;0,0337881741;0,1986658641;-0,0091845538;0,0140156703;0,0140719545;-0,0003967552;0,0393878924;0,2321782025;0,2053702454
1997;970,43;15,490;39,720;0,1788008842;0,0516;0,0676;0,0732;0,0602;0,0294320666;0,0155787276;0,0516000000;0,0169704588;0,1427001167;0,1586593709;0,1294942161;0,0324721708;-0,0008887790;0,0412891029;0,3360781261;0,3126753273
1998;1229,23;16,200;37,710;0,1736113154;0,0439;0,0622;0,0723;0,0542;0,0127259245;0,0200631520;0,0439000000;0,0160692213;0,1206586034;0,1307040369;0,1075556400;0,0411551738;-0,0010338728;0,0428010847;0,2930112995;0,2739208463
1999;1469,25;16,690;48,170;0,1471672594;0,0520;0,0755;0,0819;0,0682;0,0032063101;0,0179621806;0,0520000000;0,0267639903;0,1384560500;-0,0898988411;-0,0745425946;0,0325411564;0,0000642780;0,0429437813;0,2135227061;0,1979444854
2000;1320,28;16,270;50,000;0,1518515036;0,0577;0,0721;0,0802;0,0558;0,0094993010;-0,0022506275;0,0577000000;0,0343601896;0,1409895614;0,2149343724;0,1285453653;0,0501760507;-0,0005248530;0,0431683939;-0,0834897982;-0,0939037930
2001;1148,08;15,740;24,690;0,1312178459;0,0169;0,0677;0,0805;0,0575;0,0097379731;0,0134669755;0,0169000000;0,0160366552;0,0865431157;0,0370275224;0,1063665718;0,0458753838;-0,0013361672;0,0376032823;-0,1190453487;-0,1306447164
2002;879,82;16,077;27,590;0,2953858956;0,0119;0,0621;0,0745;0,0484;0,0016917353;0,0258377656;0,0119000000;0,0248027057;0,0820276580;0,1784139276;0,1664151752;0,0679463816;-0,0041443054;0,0341605270;-0,2178387477;-0,2306217836
2003;1111,92;17,385;48,740;0,2187398648;0,0090;0,0562;0,0660;0,0515;-0,0113469833;0,0069456916;0,0090000000;0,0203520352;0,0724230891;0,0089593956;0,0527255506;0,0291410958;NaN;0,0349602251;0,2869973565;0,2639682596
2004;1211,92;19,440;58,550;0,2706192427;0,0219;0,0547;0,0615;0,0484;-0,0233978573;0,0130002322;0,0219000000;0,0334231806;0,0782974619;0,0849731844;0,0872115434;0,0121847460;NaN;0,0356557067;0,1097770243;0,0874687648
2005;1248,29;22,220;69,930;0,3134779566;0,0389;0,0537;0,0632;0,0461;-0,0150082398;0,0030790439;0,0389000000;0,0333854982;0,0510712081;0,0780755925;0,0587227306;0,0105147325;NaN;0,0358568024;0,0522211335;0,0330204452
2006;1418,30;24,881;81,510;0,2816823997;0,0485;0,0532;0,0622;0,0491;-0,0155447010;-0,0148925156;0,0485000000;0,0252397779;0,0491233387;0,0117595391;0,0323553591;0,0100371213;NaN;0,0366169779;0,1567179417;0,1350225091
2007;1468,36;27,731;66,180;0,2505829731;0,0300;0,0549;0,0665;0,0450;-0,0145362808;-0,0418518486;0,0300000000;0,0410881339;0,0777264970;0,0989279628;0,0258900171;0,0252373766;NaN;0,0373978493;0,0574924355;0,0375476468
2008;903,25;28,387;14,880;0,3549842247;0,0003;0,0505;0,0843;0,0303;0,0052712264;-0,0248711512;0,0003000000;-0,0002222800;0,2174037369;0,2586177059;0,0878964639;0,1662889879;NaN;0,0325660814;-0,3645857030;-0,3795971622
2009;1115,10;22,407;50,970;0,3255306601;0,0005;0,0526;0,0637;0,0458;-0,0266582413;0,0105399145;0,0005000000;0,0281412312;0,1971352378;-0,1489827269;0,0300122642;0,0727013438;NaN;0,0280398792;0,2648098115;0,2329176310
2010;1257,64;22,730;77,350;0,3581003169;0,0014;0,0502;0,0610;0,0414;-0,0334803300;0,0125550274;0,0014000000;0,0143779302;0,1297016669;0,1016258102;0,1243838967;0,0322614298;NaN;0,0298757139;0,1515230764;0,1269747355
2011;1257,60;26,425;86,950;0,3572325407;0,0001;0,0393;0,0525;0,0248;-0,0239007227;-0,0065046624;0,0001000000;0,0302668820;0,1281862432;0,2823445661;0,1793964059;0,0537950559;NaN;0,0318795019;0,0182401629;-0,0028375637
2012;1426,19;31,247;86,510;0,3490324432;0,0007;0,0365;0,0463;0,0241;-0,0350701493;-0,0122655894;0,0007000000;0,0176979462;0,1164981008;0,0331090726;0,1067484693;0,0160726357;NaN;0,0321246720;0,1603820856;0,1336630764
2013;1848,36;34,990;100,200;0,3044081256;0,0007;0,0462;0,0538;0,0367;-0,0278123659;0,0121835026;0,0007000000;0,0152791296;0,1286622783;-0,0707949250;-0,1135925003;0,0124043013;NaN;0,0326978902;0,3249163442;0,2969421535
2014;2058,90;39,440;102,310;0,3237556717;0,0003;0,0379;0,0474;0,0240;-0,0355646551;0,0056464723;0,0003000000;0,0067619100;0,1093213101;0,2386209710;0,1727406685;0,0128985315;NaN;0,0336359915;0,1354068435;0,1122707977
